Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cellular Response To Type II Interferon (GO:0071346)	8/52	3.6603480897576794E-5	0.027186389013220572	0	0	7.330909090909091	74.88792838772964	GBP6;CCL22;EPRS1;IFNGR1;CAMK2A;GBP2;GBP4;JAK1
rRNA Transcription (GO:0009303)	4/9	4.127750060649712E-5	0.027186389013220572	0	0	32.013861386138615	323.18610891843434	GTF3C5;TAF1B;TCOF1;MARS1
Regulation Of Cell Population Proliferation (GO:0042127)	27/472	4.562233290740917E-5	0.027186389013220572	0	0	2.504520923648589	25.032970155142458	RTKN2;ADRA1D;TNFRSF11A;GLI1;TSPAN31;CYP27B1;ADGRG1;ERBB3;RPS6KA2;ERBB2;TNFRSF8;CD33;BOK;MINAR1;MYOCD;SMAD3;EGF;STAT2;OSMR;CGRRF1;MYO16;TSHR;PIAS1;RNF41;MYO1C;CDK4;BCL2
PERK-mediated Unfolded Protein Response (GO:0036499)	3/4	5.809169878303282E-5	0.027186389013220572	0	0	119.78518518518518	1168.3233402166315	DDIT3;EIF2S1;NFE2L2
Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:0097192)	4/10	6.74600223653116E-5	0.027186389013220572	0	0	26.676567656765677	256.20109944655246	BCL2L10;ERBB3;BCL2;BOK
Defense Response To Protozoan (GO:0042832)	4/11	1.0395180479035032E-4	0.030179687646585147	0	0	22.864214992927863	209.70104969214884	GBP6;GBP7;GBP2;GBP4
Response To Type II Interferon (GO:0034341)	8/60	1.0484258735786404E-4	0.030179687646585147	0	0	6.2	56.81091310436395	GBP6;CYP27B1;CD74;CCL22;EPRS1;CAMK2A;GBP2;GBP4
Positive Regulation Of Cellular Process (GO:0048522)	22/375	1.6075420707519655E-4	0.03783862853332054	0	0	2.5541105843326632	22.311775320656228	EGR2;SMARCC2;SLC44A4;EGF;RTKN2;HP;KLHL22;ADRA1D;HPR;TNFRSF11A;GLI1;OSMR;TSHR;TSPAN31;ADGRG1;ERBB3;CDK4;ERBB2;BCL2;PRODH;CFAP20;H3-3A
Negative Regulation Of Cellular Process (GO:0048523)	20/325	1.6900628129026544E-4	0.03783862853332054	0	0	2.681595403075883	23.291197125129212	MINAR1;MYOCD;SMAD3;NOTCH4;VPS4B;ADRA1D;CGRRF1;MYO16;RNF41;CYP27B1;ADGRG1;MYO1C;BRINP1;ZNRF4;ERBB3;ALOX5;RPS6KA2;CHMP1A;TNFRSF8;CD33
Negative Regulation Of Cell Population Proliferation (GO:0008285)	16/251	5.073077936497902E-4	0.10222252042043273	0	0	2.76804168475901	20.999451093560673	MINAR1;MYOCD;SMAD3;TNFAIP3;ADRA1D;CEL;CGRRF1;MYO16;RNF41;CYP27B1;ADGRG1;TFDP1;MYO1C;RPS6KA2;TNFRSF8;CD33
Extrinsic Apoptotic Signaling Pathway (GO:0097191)	6/43	6.036851102296879E-4	0.11058413610116555	0	0	6.508672851956434	48.24526308770218	BCL2L10;SMAD3;ERBB3;BCL2;BOK;RNF41
Positive Regulation Of Autophagosome Assembly (GO:2000786)	3/8	7.554777015750832E-4	0.12685729738948273	0	0	23.95111111111111	172.16442582567763	RAB3GAP2;PIP4K2C;RAB3GAP1
tRNA Aminoacylation (GO:0043039)	4/18	8.407497824460224E-4	0.13031621627913348	0	0	11.427157001414427	80.91817231919113	EPRS1;LARS1;MARS1;IARS1
Integrated Stress Response Signaling (GO:0140467)	4/19	0.0010444201377934332	0.13304133883249517	0	0	10.664686468646865	73.20553736253564	DDIT3;MAP3K20;EIF2S1;NFE2L2
Receptor Signaling Pathway Via STAT (GO:0097696)	4/19	0.0010444201377934332	0.13304133883249517	0	0	10.664686468646865	73.20553736253564	MYO1C;STAT2;JAK1;PIAS1
Defense Response To Symbiont (GO:0140546)	9/106	0.0012141805025517442	0.13304133883249517	0	0	3.738082319200062	25.09631060899153	GBP7;MLKL;OAS1;MX2;STAT2;BCL2;NLRC5;GBP2;TANK
Positive Regulation Of Growth (GO:0045927)	6/50	0.001361802140062402	0.13304133883249517	0	0	5.470827679782904	36.10169836769953	SLC44A4;ERBB2;RFTN1;BCL2;KLHL22;H3-3A
Receptor Signaling Pathway Via JAK-STAT (GO:0007259)	4/21	0.0015512053784399555	0.13304133883249517	0	0	9.40885264997088	60.86326141595071	MYO1C;STAT2;JAK1;PIAS1
Intermediate Filament Organization (GO:0045109)	5/35	0.0015554190906157074	0.13304133883249517	0	0	6.675765095119933	43.16556558512867	KRT81;KRT80;KRT7;KRT86;KRT83
Ceramide Catabolic Process (GO:0046514)	3/10	0.0015604911947575313	0.13304133883249517	0	0	17.105820105820104	110.55071824017182	NEU4;GM2A;CEL
Positive Regulation Of Vacuole Organization (GO:0044090)	3/10	0.0015604911947575313	0.13304133883249517	0	0	17.105820105820104	110.55071824017182	RAB3GAP2;PIP4K2C;RAB3GAP1
Organic Substance Transport (GO:0071702)	9/110	0.001575712060469707	0.13304133883249517	0	0	3.5891461326583785	23.160932298133655	CUBN;CYP27B1;RAMP3;GM2A;CHMP1A;CAMK2A;RAB7A;DISP1;HSP90B1
Negative Regulation Of Innate Immune Response (GO:0045824)	5/36	0.0017703311821869853	0.13304133883249517	0	0	6.460017609861523	40.934474209368005	MYO1C;OAS1;STAT2;NLRC5;TNFAIP3
Regulation Of Endoplasmic Reticulum Tubular Network Organization (GO:1903371)	2/3	0.0017826879148771062	0.13304133883249517	0	0	79.66009852216749	504.21918752416525	RAB3GAP2;RAB3GAP1
L-alanine Transport (GO:0015808)	2/3	0.0017826879148771062	0.13304133883249517	0	0	79.66009852216749	504.21918752416525	SLC36A1;SLC36A2
Cellular Response To Interleukin-2 (GO:0071352)	2/3	0.0017826879148771062	0.13304133883249517	0	0	79.66009852216749	504.21918752416525	IL2RA;JAK1
Interleukin-2-Mediated Signaling Pathway (GO:0038110)	2/3	0.0017826879148771062	0.13304133883249517	0	0	79.66009852216749	504.21918752416525	IL2RA;JAK1
Regulation Of Kinase Activity (GO:0043549)	6/53	0.0018495342018064569	0.1331004077371432	0	0	5.120673229596697	32.22348236018724	CD74;MUSK;ERBB3;ERBB2;NLRC5;ROR2
N-glycan Processing (GO:0006491)	3/11	0.002106696304355319	0.14637907080261958	0	0	14.966666666666667	92.23409322297462	GNPTAB;ST8SIA1;MAN2A1
