Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interferon Gamma Signaling R-HSA-877300	11/62	2.8822860176840255E-7	2.447060829013738E-4	0	0	8.758383958117252	131.89698757803586	GBP6;GBP7;OAS1;IFNGR1;CAMK2A;HLA-DRA;GBP2;TRIM10;GBP4;JAK1;PIAS1
Cytokine Signaling In Immune System R-HSA-1280215	28/421	1.9994238048863427E-6	6.72973904369415E-4	0	0	2.958430427213071	38.822451532036325	CAMK2A;NLRC5;TNFRSF11A;TANK;HSP90B1;PDZD2;ALOX5;RPS6KA2;LONP1;TNFRSF8;GBP2;GBP4;JAK1;GBP6;GBP7;CCL22;SMAD3;IFNGR1;STAT2;MX2;OSMR;PIAS1;IL17RA;OAS1;IL2RA;BCL2;HLA-DRA;TRIM10
Signal Transduction R-HSA-162582	63/1409	2.3779996620827384E-6	6.72973904369415E-4	0	0	2.0114090057497256	26.046239881587542	ARHGAP9;ANKLE2;CCNT2;TNFAIP3;ADRA1D;GLI1;SYDE2;GOLGA3;EEF2K;HEY1;UCN3;RPS6KA2;KIF5A;PIP4K2C;JAK1;PLEKHG1;TMOD3;CSNK2A2;SPTB;RNF41;TIAM2;ALDH1A3;TFDP1;DAAM1;TBL1XR1;ABCG1;RAB7A;PHLPP1;RAMP3;ARHGEF25;NOTCH4;CAMK2A;LPAR1;PRKCZ;TANK;FSTL3;PDZD2;OS9;ERBB3;NPY;LDHD;ERBB2;ABL1;TAS1R2;MAP2K5;FARP2;EGR2;CCL22;SMAD3;ARHGEF37;CSNK1A1;SMOX;EGF;TSHR;TF;CDK4;IL2RA;BCL2;RGS12;COL9A2;ESYT1;PDE7B;CENPP
Interferon Signaling R-HSA-913531	14/130	3.908074140358796E-6	8.294887362911544E-4	0	0	4.9182566077367404	61.24442246182693	GBP6;GBP7;IFNGR1;STAT2;MX2;CAMK2A;PIAS1;PDZD2;OAS1;HLA-DRA;GBP2;TRIM10;GBP4;JAK1
Glycosphingolipid Metabolism R-HSA-1660662	6/25	2.548444570522987E-5	0.004327258880748032	0	0	12.688923802042419	134.21635891160471	NEU4;GM2A;ARSI;B4GALNT1;ESYT2;ESYT1
Immune System R-HSA-168256	51/1165	4.2562313025326156E-5	0.005988406201607253	0	0	1.9310079507566043	19.434709400411325	ARHGAP9;CALML5;TNFAIP3;GM2A;GNLY;RPS6KA2;KIF5A;LONP1;TNFRSF8;ACP3;CD33;JAK1;GBP6;GBP7;IFNGR1;RNASET2;OSMR;PJA2;PIAS1;RNF41;IL17RA;ENAH;OAS1;TRIM10;RAB7A;TMEM63A;DCTN2;CAMK2A;NLRC5;TNFRSF11A;TANK;HSP90B1;ZNRF1;PDZD2;ALOX5;ABL1;GBP2;GBP4;CD74;CCL22;PTPRN2;SMAD3;STAT2;MX2;RAB27A;KLHL22;BTNL2;IL2RA;BCL2;HLA-DRA;PDCD1
Disease R-HSA-1643685	45/988	4.9374373864841895E-5	0.005988406201607253	0	0	2.0020069586251017	19.852059192392012	SEMA5B;CCNT2;RAMP3;NOTCH4;VPS4B;RPN1;POMT1;CAMK2A;TANK;RPS14;CYP27B1;HEY1;UCN3;OS9;ERBB3;MAN2A1;MGAT5;CHMP1A;ERBB2;ABL1;LONP1;THSD7A;TOPBP1;JAK1;CUBN;SLC36A2;SMAD3;SYT1;IFNGR1;CSNK1A1;EGF;STAT2;TXNRD1;OMD;USH2A;TSHR;IL17RA;GP9;TFDP1;CYP24A1;CDK4;TBL1XR1;PDCD1;NFE2L2;RAB7A
Sphingolipid Metabolism R-HSA-428157	7/51	2.3607438017973965E-4	0.02376639294366712	0	0	6.398549081840852	53.43661010183614	FA2H;NEU4;GM2A;ARSI;B4GALNT1;ESYT2;ESYT1
Metabolism Of Lipids R-HSA-556833	23/416	2.7164190020088555E-4	0.02376639294366712	0	0	2.3985790291133804	19.694794537128157	ARHGAP9;CUBN;SLC44A4;MUSK;SLC10A1;OSBPL3;TXNRD1;CSNK2A2;ACSF3;TIAM2;HELZ2;FA2H;CYP27B1;NEU4;CYP24A1;GM2A;TBL1XR1;ALOX5;ARSI;B4GALNT1;ESYT2;PIP4K2C;ESYT1
Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803	3/6	2.7993395693365277E-4	0.02376639294366712	0	0	39.92345679012346	326.61207733120017	ERBB3;ERBB2;RNF41
RAC1 GTPase Cycle R-HSA-9013149	9/88	3.111103338135732E-4	0.02401206121888397	0	0	4.594936708860759	37.105781599336694	SYDE2;TIAM2;ARHGAP9;FARP2;EGR2;PLEKHG1;ARHGEF25;ESYT1;RAB7A
Downregulation Of ERBB2 Signaling R-HSA-8863795	4/15	3.9763254222194294E-4	0.028132502362202463	0	0	14.546354635463546	113.89769845091486	ERBB3;EGF;ERBB2;RNF41
Gene Expression (Transcription) R-HSA-74160	36/817	5.344772589591062E-4	0.03490547637356009	0	0	1.9071083391846682	14.368576413117305	CCNT2;GTF3C5;MAX;NOTCH4;CAMK2A;U2AF1;PDZD2;HEY1;TAF1B;NPY;TDG;ERBB2;ABL1;DHX38;DROSHA;PIP4K2C;TOPBP1;PITX2;ZNF169;SMARCC2;SMAD3;ZFP1;TXNRD1;CSNK2A2;TNFRSF10C;TET1;TFDP1;CDK4;TBL1XR1;DDIT3;IL2RA;ZNF74;NABP2;ZNF778;ZNF613;SRSF5
Vitamins R-HSA-211916	2/2	6.040881801988723E-4	0.03563336492429142	0	0	Infinity	Infinity	CYP27B1;CYP24A1
Metabolism R-HSA-1430728	47/1173	6.454752953738992E-4	0.03563336492429142	0	0	1.7396958320827778	12.77897682702785	ARHGAP9;IPPK;DMGDH;SLC44A4;ADO;HELZ2;NDST1;RPS14;CYP27B1;NEU4;CHST11;GM2A;AUH;IMPA2;NNT;ALOX5;LDHD;ARSI;UGT3A1;D2HGDH;B4GALNT1;PIP4K2C;IARS1;PRODH;COX10;CUBN;SLC37A1;MUSK;SMOX;SLC10A1;OSBPL3;TXNRD1;CSNK2A2;OMD;ACAD9;MARS1;ACSF3;DHODH;TIAM2;FA2H;BHMT;CYP24A1;EPRS1;TBL1XR1;LARS1;ESYT2;ESYT1
ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183	3/8	7.554777015750832E-4	0.03563336492429142	0	0	23.95111111111111	172.16442582567763	DDIT3;ATF6;HSP90B1
ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033	3/8	7.554777015750832E-4	0.03563336492429142	0	0	23.95111111111111	172.16442582567763	DDIT3;ATF6;HSP90B1
ERBB2 Activates PTK6 Signaling R-HSA-8847993	3/8	7.554777015750832E-4	0.03563336492429142	0	0	23.95111111111111	172.16442582567763	ERBB3;EGF;ERBB2
ERBB2 Regulates Cell Motility R-HSA-6785631	3/9	0.0011125800558143203	0.049714761441387256	0	0	19.958024691358023	135.7359945617284	ERBB3;EGF;ERBB2
Cytosolic tRNA Aminoacylation R-HSA-379716	4/20	0.0012803788943769618	0.054352084066302035	0	0	9.997524752475247	66.58950570444651	EPRS1;LARS1;MARS1;IARS1
PI3K Events In ERBB2 Signaling R-HSA-1963642	3/10	0.0015604911947575313	0.060220773834052006	0	0	17.105820105820104	110.55071824017182	ERBB3;EGF;ERBB2
Vitamin D (Calciferol) Metabolism R-HSA-196791	3/10	0.0015604911947575313	0.060220773834052006	0	0	17.105820105820104	110.55071824017182	CUBN;CYP27B1;CYP24A1
GRB7 Events In ERBB2 Signaling R-HSA-1306955	2/3	0.0017826879148771062	0.06306258498877763	0	0	79.66009852216749	504.21918752416525	ERBB3;ERBB2
PI5P Regulates TP53 Acetylation R-HSA-6811555	2/3	0.0017826879148771062	0.06306258498877763	0	0	79.66009852216749	504.21918752416525	PDZD2;PIP4K2C
Regulation Of IFNG Signaling R-HSA-877312	3/11	0.002106696304355319	0.06869827584503449	0	0	14.966666666666667	92.23409322297462	IFNGR1;PIAS1;JAK1
Metabolism Of Amino Acids And Derivatives R-HSA-71291	13/210	0.0021525336966950162	0.06869827584503449	0	0	2.668829917111097	16.389577203834353	DMGDH;SMOX;TXNRD1;MARS1;ADO;RPS14;BHMT;EPRS1;AUH;LARS1;LDHD;IARS1;PRODH
Signaling By Rho GTPases R-HSA-194315	18/343	0.002184750821926892	0.06869827584503449	0	0	2.2504615384615385	13.786897870417013	ARHGAP9;FARP2;ANKLE2;PLEKHG1;EGR2;ARHGEF25;TMOD3;PRKCZ;TIAM2;SYDE2;GOLGA3;PDZD2;DAAM1;KIF5A;ABL1;ESYT1;CENPP;RAB7A
SHC1 Events In ERBB2 Signaling R-HSA-1250196	3/12	0.002757963275093055	0.08284768357196286	0	0	13.302880658436214	78.39737192305707	ERBB3;EGF;ERBB2
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	18/352	0.002884089826126309	0.08284768357196286	0	0	2.1885766927683097	12.799991273256909	ARHGAP9;FARP2;ANKLE2;PLEKHG1;EGR2;ARHGEF25;TMOD3;PRKCZ;TIAM2;SYDE2;GOLGA3;PDZD2;DAAM1;KIF5A;ABL1;ESYT1;CENPP;RAB7A
RNA Polymerase II Transcription R-HSA-73857	31/742	0.0029274799848750125	0.08284768357196286	0	0	1.7880856715426772	10.43100035406737	CCNT2;MAX;NOTCH4;CAMK2A;U2AF1;PDZD2;HEY1;NPY;ERBB2;ABL1;DHX38;PIP4K2C;TOPBP1;PITX2;ZNF169;SMARCC2;SMAD3;ZFP1;TXNRD1;CSNK2A2;TNFRSF10C;TFDP1;CDK4;TBL1XR1;DDIT3;IL2RA;ZNF74;NABP2;ZNF778;ZNF613;SRSF5
Developmental Biology R-HSA-1266738	27/624	0.003351162069962907	0.09056978823890979	0	0	1.848810984054129	10.535353451803925	ROBO2;KRT81;KRT80;AGAP2;CRMP1;KRT86;KRT83;HELZ2;RPS14;RPS6KA2;SCN9A;ERBB2;ABL1;FARP2;LEFTY1;EGR2;SMAD3;CSNK2A2;KRT7;SPTB;ENAH;TFDP1;DOK4;CDK4;TBL1XR1;COL9A2;CDH15
NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695	3/13	0.003520380461583066	0.09056978823890979	0	0	11.971851851851852	67.63122038408902	SMAD3;HEY1;NOTCH4
Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686	3/13	0.003520380461583066	0.09056978823890979	0	0	11.971851851851852	67.63122038408902	ERBB3;EGF;ERBB2
Metabolism Of Proteins R-HSA-392499	41/1087	0.004249953528586746	0.10612383958147492	0	0	1.6155120583929437	8.822064550004558	SEMA5B;ENPEP;DCTN2;TUBAL3;RPN1;POMT1;DCUN1D2;TNFAIP3;TANK;FSTL3;HSP90B1;RPS14;NEU4;OS9;MAN2A1;MGAT5;TDG;KIF5A;ARSI;IARS1;THSD7A;GALNT9;MBD6;SMAD3;ST8SIA1;CSNK2A2;MARS1;RAB27A;KLHL22;SPTB;EIF2S1;MRPL21;PIAS1;PIGB;TF;EPRS1;LARS1;PIGM;KIFC3;NFE2L2;RAB7A
Signaling By ERBB2 R-HSA-1227986	4/29	0.005272698134518698	0.12493706076531484	0	0	6.394851485148515	33.54235857437548	ERBB3;EGF;ERBB2;RNF41
Signaling By ERBB2 KD Mutants R-HSA-9664565	3/15	0.00539983674092072	0.12493706076531484	0	0	9.975308641975309	52.08494246540333	ERBB3;EGF;ERBB2
Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	6/66	0.00560658354608353	0.12493706076531484	0	0	4.007960199004975	20.77651914307314	CCL22;ALOX5;LONP1;BCL2;HSP90B1;JAK1
Choline Catabolism R-HSA-6798163	2/5	0.005750455731796051	0.12493706076531484	0	0	26.55008210180624	136.95796582335495	DMGDH;BHMT
Interleukin-2 Signaling R-HSA-9020558	2/5	0.005750455731796051	0.12493706076531484	0	0	26.55008210180624	136.95796582335495	IL2RA;JAK1
RHO GTPase Cycle R-HSA-9012999	13/237	0.006001770262285281	0.12493706076531484	0	0	2.3431735985533453	11.986975075051248	ARHGAP9;FARP2;ANKLE2;PLEKHG1;EGR2;ARHGEF25;TMOD3;TIAM2;SYDE2;GOLGA3;DAAM1;ESYT1;RAB7A
Selenoamino Acid Metabolism R-HSA-2408522	6/67	0.006033474077005782	0.12493706076531484	0	0	3.9420112551994126	20.14538165330053	RPS14;EPRS1;LARS1;TXNRD1;MARS1;IARS1
Signaling By Interleukins R-HSA-449147	14/266	0.006346977900461433	0.1282996247021847	0	0	2.2447828539199097	11.358099533104095	CCL22;SMAD3;STAT2;NLRC5;OSMR;TANK;HSP90B1;IL17RA;ALOX5;IL2RA;RPS6KA2;BCL2;LONP1;JAK1
Signaling By ERBB2 In Cancer R-HSA-1227990	3/16	0.006525972845410803	0.12885002199427376	0	0	9.207407407407407	46.33135404121041	ERBB3;EGF;ERBB2
RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198	5/50	0.007518444752669681	0.14507180897764907	0	0	4.44637441411635	21.74453154798222	DENND1C;RAB27A;RAB3GAP2;RAB3GAP1;RAB7A
Metabolism Of Steroids R-HSA-8957322	7/94	0.008489127014813733	0.15877810286534985	0	0	3.2274199558574828	15.391466071435293	HELZ2;CUBN;CYP27B1;CYP24A1;TBL1XR1;SLC10A1;OSBPL3
Generic Transcription Pathway R-HSA-212436	27/671	0.008616491012506345	0.15877810286534985	0	0	1.7087103242529467	8.123341054171057	CCNT2;MAX;NOTCH4;CAMK2A;PDZD2;HEY1;NPY;ERBB2;ABL1;PIP4K2C;TOPBP1;PITX2;ZNF169;SMARCC2;SMAD3;ZFP1;TXNRD1;CSNK2A2;TNFRSF10C;TFDP1;CDK4;TBL1XR1;DDIT3;IL2RA;ZNF74;ZNF778;ZNF613
Unfolded Protein Response (UPR) R-HSA-381119	5/52	0.008862510629416178	0.15877810286534985	0	0	4.256639037009662	20.116557640183704	CTDSP2;DDIT3;ATF6;EIF2S1;HSP90B1
