Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interferon Gamma Signaling	11/67	6.525951759311161E-7	3.352595975560169E-4	0	0	7.973911478949263	113.56690998501412	GBP6;GBP7;OAS1;IFNGR1;CAMK2A;HLA-DRA;GBP2;TRIM10;GBP4;PIAS1;JAK1
Interferon Signaling	17/165	6.82115152708071E-7	3.352595975560169E-4	0	0	4.707403055229142	66.83602561111339	GBP6;GBP7;TUBAL3;IFNGR1;STAT2;MX2;CAMK2A;FANCA;HSPA2;EIF2S1;PIAS1;OAS1;HLA-DRA;GBP2;TRIM10;GBP4;JAK1
Signal Transduction	65/1469	2.281216115486446E-6	6.298786184311844E-4	0	0	1.993305258611381	25.8946336874507	ARHGAP9;ANKLE2;CCNT2;TNFAIP3;ADRA1D;GLI1;SYDE2;GOLGA3;EEF2K;HEY1;UCN3;RPS6KA2;KIF5A;PIP4K2C;H3-3A;JAK1;PLEKHG1;TMOD3;CSNK2A2;TAAR2;SPTB;RNF41;TIAM2;ALDH1A3;TFDP1;DAAM1;TBL1XR1;ROR2;ABCG1;RAB7A;PHLPP1;RAMP3;TUBAL3;ARHGEF25;NOTCH4;CAMK2A;LPAR1;PRKCZ;FSTL3;OS9;ERBB3;NPY;ERBB2;ABL1;TAS1R2;MAP2K5;FARP2;EGR2;CCL22;SMAD3;COL24A1;ARHGEF37;CSNK1A1;EGF;TSHR;NET1;TF;CDK4;IL2RA;BCL2;RGS12;COL9A2;ESYT1;PDE7B;CENPP
Cytokine Signaling in Immune System	29/451	2.563086951907159E-6	6.298786184311844E-4	0	0	2.855794120221586	36.76634505963317	TUBAL3;CAMK2A;NLRC5;TNFRSF11A;HSP90B1;ALOX5;RPS6KA2;TNFRSF8;GBP2;GBP4;JAK1;GBP6;GBP7;CCL22;SMAD3;IFNGR1;STAT2;MX2;FANCA;HSPA2;OSMR;EIF2S1;PIAS1;IL17RA;OAS1;IL2RA;BCL2;HLA-DRA;TRIM10
Immune System	55/1214	7.761636332951019E-6	0.0015259377030581703	0	0	2.018236391145048	23.747209922748922	ARHGAP9;CALML5;HP;TNFAIP3;GM2A;GNLY;RPS6KA2;KIF5A;TNFRSF8;ACP3;CD33;JAK1;GBP6;GBP7;IFNGR1;RNASET2;OSMR;PJA2;PIAS1;RNF41;IL17RA;ENAH;OAS1;TRIM10;RAB7A;TMEM63A;DCTN2;TUBAL3;CAMK2A;NLRC5;TNFRSF11A;TANK;HSP90B1;ZNRF1;ALOX5;ABL1;GBP2;GBP4;CD74;CCL22;PTPRN2;SMAD3;STAT2;MX2;FANCA;RAB27A;KLHL22;BTNL2;HSPA2;EIF2S1;MYO1C;IL2RA;BCL2;HLA-DRA;PDCD1
Developmental Biology	40/807	2.0676048768773393E-5	0.0033874259899507077	0	0	2.1831245394252026	23.548348362977467	ROBO2;KRT81;KRT80;TUBAL3;AGAP2;CRMP1;KRT86;HOXC11;KRT83;HELZ2;RPS14;HEY1;RPS6KA2;SCN9A;ERBB2;ABL1;IARS1;H3-3A;FARP2;LEFTY1;EGR2;MYOCD;SMARCC2;SMAD3;EGF;CSNK2A2;MARS1;KRT7;RAB27A;SPTB;ENAH;TFDP1;EPRS1;DOK4;CDK4;TBL1XR1;LARS1;BCL2;COL9A2;CDH15
Disease	45/1030	1.2991871114462547E-4	0.018244299007880976	0	0	1.9113562948357596	17.10396600191624	SEMA5B;CCNT2;TUBAL3;NOTCH4;VPS4B;RPN1;POMT1;CAMK2A;RPS14;CYP27B1;HEY1;AUH;OS9;ERBB3;MAN2A1;MGAT5;CHMP1A;ERBB2;ABL1;THSD7A;TOPBP1;H3-3A;JAK1;CUBN;SLC36A2;SMAD3;MLKL;SYT1;IFNGR1;CSNK1A1;EGF;STAT2;TXNRD1;CSNK2A2;OMD;IL17RA;GP9;TFDP1;MYO1C;CYP24A1;CDK4;TBL1XR1;PDCD1;NFE2L2;RAB7A
Downregulation of ERBB2 ERBB3 Signaling	3/6	2.7993395693365277E-4	0.03439688495822258	0	0	39.92345679012346	326.61207733120017	ERBB3;ERBB2;RNF41
Gene Expression (Transcription)	38/863	3.7985047581541457E-4	0.03908727890041699	0	0	1.9105192465192464	15.046739223565176	CCNT2;GTF3C5;MAX;NOTCH4;CAMK2A;U2AF1;HEY1;TAF1B;NPY;TDG;ERBB2;ABL1;DHX38;DROSHA;PIP4K2C;TOPBP1;PITX2;ZNF169;H3-3A;SMARCC2;SMAD3;ZFP1;TXNRD1;CSNK2A2;TNFRSF10C;TET1;TFDP1;MYO1C;CDK4;TBL1XR1;DDIT3;IL2RA;ZNF74;C19ORF84;NABP2;ZNF778;ZNF613;SRSF5
Downregulation of ERBB2 Signaling	4/15	3.9763254222194294E-4	0.03908727890041699	0	0	14.546354635463546	113.89769845091486	ERBB3;EGF;ERBB2;RNF41
NFE2L2 Regulating Tumorigenic Genes	3/7	4.80942240923321E-4	0.04297874752978405	0	0	29.94074074074074	228.74017457068408	EGF;BCL2;NFE2L2
Vitamins	2/2	6.040881801988723E-4	0.0494848900946243	0	0	Infinity	Infinity	CYP27B1;CYP24A1
ATF6 (ATF6-alpha) Activates Chaperone Genes	3/8	7.554777015750832E-4	0.04950897204322045	0	0	23.95111111111111	172.16442582567763	DDIT3;ATF6;HSP90B1
ATF6 (ATF6-alpha) Activates Chaperones	3/8	7.554777015750832E-4	0.04950897204322045	0	0	23.95111111111111	172.16442582567763	DDIT3;ATF6;HSP90B1
ERBB2 Activates PTK6 Signaling	3/8	7.554777015750832E-4	0.04950897204322045	0	0	23.95111111111111	172.16442582567763	ERBB3;EGF;ERBB2
Cellular Responses to Stress	22/426	9.117939795452403E-4	0.0560183426183107	0	0	2.22449084286667	15.571650547929556	DCTN2;TUBAL3;EGF;TXNRD1;CSNK2A2;CAMK2A;HSPA2;EIF2S1;HSP90B1;HELZ2;RPS14;TFDP1;CDK4;TBL1XR1;DDIT3;CTDSP2;RPS6KA2;BCL2;LONP1;ATF6;H3-3A;NFE2L2
Cellular Responses to Stimuli	24/488	0.0010657064398589614	0.060759233048082055	0	0	2.1158405172413794	14.481060848709339	DCTN2;TUBAL3;EGF;TXNRD1;CSNK2A2;CAMK2A;HSPA2;EIF2S1;HSP90B1;HELZ2;RPS14;TFDP1;CDK4;TBL1XR1;DDIT3;CTDSP2;RPS6KA2;ABL1;BCL2;LONP1;ATF6;H3-3A;NFE2L2;MT1E
ERBB2 Regulates Cell Motility	3/9	0.0011125800558143203	0.060759233048082055	0	0	19.958024691358023	135.7359945617284	ERBB3;EGF;ERBB2
Cytosolic tRNA Aminoacylation	4/20	0.0012803788943769618	0.06624276069329228	0	0	9.997524752475247	66.58950570444651	EPRS1;LARS1;MARS1;IARS1
Signaling by Rho GTPases	19/359	0.0015116961044448042	0.06669403671507187	0	0	2.2743686677755934	14.770939647341683	ARHGAP9;FARP2;ANKLE2;PLEKHG1;TUBAL3;ARHGEF25;TMOD3;PRKCZ;TIAM2;NET1;SYDE2;GOLGA3;DAAM1;KIF5A;ABL1;ESYT1;CENPP;H3-3A;RAB7A
