Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Negative Regulation Of Innate Immune Response (GO:0045824)	5/36	3.7774208847222944E-5	0.040833919763848	0	0	15.352588147036759	156.34897669468944	MYO1C;OAS1;STAT2;NLRC5;TNFAIP3
rRNA Transcription (GO:0009303)	3/9	9.583858907502763E-5	0.05180075739505244	0	0	47.117816091954026	435.97385588719123	GTF3C5;TAF1B;TCOF1
Defense Response To Protozoan (GO:0042832)	3/11	1.8531228770158717E-4	0.053000565685731034	0	0	35.33405172413793	303.642046843823	GBP6;GBP7;GBP4
Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339)	3/12	2.4514600224667454E-4	0.053000565685731034	0	0	31.406130268199234	261.0997821022773	OAS1;STAT2;NLRC5
Regulation Of Secretion (GO:0051046)	3/12	2.4514600224667454E-4	0.053000565685731034	0	0	31.406130268199234	261.0997821022773	PTPRN2;ERBB3;EGF
Regulation Of Cell Population Proliferation (GO:0042127)	14/472	5.53621721429674E-4	0.09974418014424627	0	0	2.990194765183379	22.4235570137969	MINAR1;MYOCD;EGF;STAT2;RTKN2;TNFRSF11A;GLI1;MYO16;CYP27B1;MYO1C;ERBB3;ERBB2;TNFRSF8;CD33
ERBB2-EGFR Signaling Pathway (GO:0038134)	2/4	6.704269130035664E-4	0.10353307042240789	0	0	93.72	684.8678844590953	EGF;ERBB2
Phosphatidylinositol 3-Kinase Signaling (GO:0014065)	3/18	8.673955212444417E-4	0.11720681980815519	0	0	18.836781609195402	132.7996021266154	ERBB3;ERBB2;MYO16
Defense Response To Gram-positive Bacterium (GO:0050830)	4/44	0.0012213932650684998	0.13504717429727248	0	0	9.458381502890173	63.44458197017126	GBP6;GBP7;DROSHA;GBP4
Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338)	3/23	0.0018102086258219461	0.13504717429727248	0	0	14.123275862068965	89.17878688478748	OAS1;STAT2;NLRC5
Regulation Of Phosphorylation (GO:0042325)	4/49	0.0018290728763391021	0.13504717429727248	0	0	8.404881181759794	52.9839176563958	ANKLE2;EGF;STAT2;NLRC5
Regulation Of Intracellular Signal Transduction (GO:1902531)	7/167	0.0021237192033206247	0.13504717429727248	0	0	4.180183823529412	25.727302451975174	SYDE2;TIAM2;PLEKHG1;GBP7;ARHGEF25;WWC2;PJA2
Regulation Of Tumor Necrosis Factor Production (GO:0032680)	5/85	0.002158314901292365	0.13504717429727248	0	0	5.931322674418604	36.408994216279	OAS1;IFNGR1;TNFRSF8;TNFAIP3;CD33
Cellular Response To Type II Interferon (GO:0071346)	4/52	0.00227989145283893	0.13504717429727248	0	0	7.878131021194605	47.927614100202625	GBP6;EPRS1;IFNGR1;GBP4
Regulation Of Toll-Like Receptor 2 Signaling Pathway (GO:0034135)	2/7	0.0022974429298174034	0.13504717429727248	0	0	37.481142857142856	227.73387018796188	TNFAIP3;PJA2
Transcription By RNA Polymerase I (GO:0006360)	2/7	0.0022974429298174034	0.13504717429727248	0	0	37.481142857142856	227.73387018796188	TAF1B;TCOF1
Negative Regulation Of Amyloid-Beta Clearance (GO:1900222)	2/7	0.0022974429298174034	0.13504717429727248	0	0	37.481142857142856	227.73387018796188	MYOCD;IFNGR1
Regulation Of Kinase Activity (GO:0043549)	4/53	0.0024457304158485033	0.13504717429727248	0	0	7.716880972041996	46.404780488787814	MUSK;ERBB3;ERBB2;NLRC5
Sensory Perception Of Light Stimulus (GO:0050953)	4/53	0.0024457304158485033	0.13504717429727248	0	0	7.716880972041996	46.404780488787814	BBS2;ATF6;USH2A;CNGB1
Defense Response To Bacterium (GO:0042742)	6/128	0.002520018349078599	0.13504717429727248	0	0	4.682484900776531	28.01759734647229	GBP6;GBP7;OAS1;GNLY;DROSHA;GBP4
Negative Regulation Of Cellular Process (GO:0048523)	10/325	0.002623488122333693	0.13504717429727248	0	0	3.0582644235338847	18.176031571211983	MINAR1;CYP27B1;MYOCD;MYO1C;ERBB3;ZNRF4;CHMP1A;TNFRSF8;CD33;MYO16
Response To Type II Interferon (GO:0034341)	4/60	0.00384443124216052	0.17491937749729072	0	0	6.749380677126342	37.53418072179968	GBP6;CYP27B1;EPRS1;GBP4
ERBB2 Signaling Pathway (GO:0038128)	2/9	0.003883501443048083	0.17491937749729072	0	0	26.768979591836736	148.59509019320424	EGF;ERBB2
Negative Regulation Of Secretion (GO:0051048)	2/9	0.003883501443048083	0.17491937749729072	0	0	26.768979591836736	148.59509019320424	ERBB3;EGF
Regulation Of Chromosome Separation (GO:1905818)	2/10	0.004820421659777782	0.18051830566569907	0	0	23.42142857142857	124.95083579349352	CSNK2A2;NCAPG2
Regulation Of Defense Response To Virus (GO:0050688)	2/10	0.004820421659777782	0.18051830566569907	0	0	23.42142857142857	124.95083579349352	TNFAIP3;ZMPSTE24
Polyol Biosynthetic Process (GO:0046173)	2/10	0.004820421659777782	0.18051830566569907	0	0	23.42142857142857	124.95083579349352	IPPK;CYP27B1
Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress (GO:0008631)	2/10	0.004820421659777782	0.18051830566569907	0	0	23.42142857142857	124.95083579349352	GSKIP;PRODH
Negative Regulation Of Multicellular Organismal Process (GO:0051241)	6/150	0.005486313320089884	0.18051830566569907	0	0	3.961744639376218	20.62285686884254	BBS2;MYOCD;GBP7;IFNGR1;WWC2;TET1
