Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ERBB2 Activates PTK6 Signaling R-HSA-8847993	3/8	6.439790817968128E-5	0.014636541763441598	0	0	56.5448275862069	545.681866955265	ERBB3;EGF;ERBB2
ERBB2 Regulates Cell Motility R-HSA-6785631	3/9	9.583858907502763E-5	0.014636541763441598	0	0	47.117816091954026	435.97385588719123	ERBB3;EGF;ERBB2
Glycosphingolipid Metabolism R-HSA-1660662	4/25	1.3326987265133128E-4	0.014636541763441598	0	0	18.036884117808974	160.94554056220858	NEU4;B4GALNT1;ESYT2;ESYT1
PI3K Events In ERBB2 Signaling R-HSA-1963642	3/10	1.3583797460270624E-4	0.014636541763441598	0	0	40.38423645320197	359.5831695521786	ERBB3;EGF;ERBB2
SHC1 Events In ERBB2 Signaling R-HSA-1250196	3/12	2.4514600224667454E-4	0.017108113380017925	0	0	31.406130268199234	261.0997821022773	ERBB3;EGF;ERBB2
Metabolism R-HSA-1430728	26/1173	3.019694082303197E-4	0.017108113380017925	0	0	2.2902013314318377	18.562505118873137	DMGDH;IPPK;HELZ2;CYP27B1;NEU4;NNT;LDHD;B4GALNT1;UGT3A1;D2HGDH;PRODH;COX10;CUBN;MUSK;OSBPL3;CSNK2A2;OMD;ACAD9;ACSF3;DHODH;TIAM2;BHMT;EPRS1;LARS1;ESYT2;ESYT1
Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686	3/13	3.161925262111212E-4	0.017108113380017925	0	0	28.263793103448275	227.78241018764626	ERBB3;EGF;ERBB2
GRB7 Events In ERBB2 Signaling R-HSA-1306955	2/3	3.3758556731600857E-4	0.017108113380017925	0	0	187.45142857142858	1498.4289000440385	ERBB3;ERBB2
RAC1 GTPase Cycle R-HSA-9013149	6/88	3.572459870537386E-4	0.017108113380017925	0	0	6.983739837398374	55.43054351015748	SYDE2;TIAM2;FARP2;PLEKHG1;ARHGEF25;ESYT1
Interferon Signaling R-HSA-913531	7/130	4.923547317309233E-4	0.017187096863134875	0	0	5.450023912003826	41.509077626147096	GBP6;GBP7;PDZD2;OAS1;IFNGR1;STAT2;GBP4
Downregulation Of ERBB2 Signaling R-HSA-8863795	3/15	4.95186318936214E-4	0.017187096863134875	0	0	23.55028735632184	179.23126268212923	ERBB3;EGF;ERBB2
Signaling By ERBB2 KD Mutants R-HSA-9664565	3/15	4.95186318936214E-4	0.017187096863134875	0	0	23.55028735632184	179.23126268212923	ERBB3;EGF;ERBB2
Interferon Gamma Signaling R-HSA-877300	5/62	5.184043137372468E-4	0.017187096863134875	0	0	8.336393308853529	63.06277372963378	GBP6;GBP7;OAS1;IFNGR1;GBP4
Cytokine Signaling In Immune System R-HSA-1280215	13/421	6.014158679421584E-4	0.017374789641507887	0	0	3.1075890722142514	23.04657635728833	GBP6;GBP7;IFNGR1;STAT2;NLRC5;TNFRSF11A;IL17RA;PDZD2;OAS1;IL2RA;LONP1;TNFRSF8;GBP4
Signaling By ERBB2 In Cancer R-HSA-1227990	3/16	6.046910548088591E-4	0.017374789641507887	0	0	21.73740053050398	161.09137315876276	ERBB3;EGF;ERBB2
Choline Catabolism R-HSA-6798163	2/5	0.0011095315783692463	0.029888006892321572	0	0	62.476190476190474	425.07658898587965	DMGDH;BHMT
Negative Regulators Of DDX58/IFIH1 Signaling R-HSA-936440	3/22	0.001586466107861431	0.03935768452462997	0	0	14.867513611615244	95.83965475782006	PDZD2;NLRC5;TNFAIP3
Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803	2/6	0.001652618564151972	0.03935768452462997	0	0	46.854285714285716	300.12017185515515	ERBB3;ERBB2
Metabolism Of Lipids R-HSA-556833	12/416	0.00173502553588856	0.03935768452462997	0	0	2.88010801080108	18.308078060928203	TIAM2;HELZ2;CUBN;CYP27B1;NEU4;MUSK;OSBPL3;CSNK2A2;B4GALNT1;ESYT2;ESYT1;ACSF3
Sphingolipid Metabolism R-HSA-428157	4/51	0.0021219671681353583	0.045728392473316976	0	0	8.046242774566474	49.527937004455914	NEU4;B4GALNT1;ESYT2;ESYT1
Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406	3/25	0.0023144244234117404	0.04750080602335525	0	0	12.837774294670846	77.90724328737558	NNT;LDHD;D2HGDH
Signaling By ERBB2 R-HSA-1227986	3/29	0.0035638099074122792	0.06981827591339511	0	0	10.860079575596817	61.21745523088112	ERBB3;EGF;ERBB2
GRB2 Events In ERBB2 Signaling R-HSA-1963640	2/9	0.003883501443048083	0.07034752699098364	0	0	26.768979591836736	148.59509019320424	EGF;ERBB2
