Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ERBB2 Activates PTK6 Signaling	3/8	6.439790817968128E-5	0.022549103784049236	0	0	56.5448275862069	545.681866955265	ERBB3;EGF;ERBB2
ERBB2 Regulates Cell Motility	3/9	9.583858907502763E-5	0.022549103784049236	0	0	47.117816091954026	435.97385588719123	ERBB3;EGF;ERBB2
PI3K Events in ERBB2 Signaling	3/10	1.3583797460270624E-4	0.022549103784049236	0	0	40.38423645320197	359.5831695521786	ERBB3;EGF;ERBB2
SHC1 Events in ERBB2 Signaling	3/13	3.161925262111212E-4	0.02664249153138295	0	0	28.263793103448275	227.78241018764626	ERBB3;EGF;ERBB2
GRB7 Events in ERBB2 Signaling	2/3	3.3758556731600857E-4	0.02664249153138295	0	0	187.45142857142858	1498.4289000440385	ERBB3;ERBB2
Interferon Signaling	8/165	3.982893628347605E-4	0.02664249153138295	0	0	4.898352994384352	38.3459323888946	GBP6;GBP7;OAS1;TUBAL3;IFNGR1;STAT2;FANCA;GBP4
Signaling by ERBB2 TMD JMD Mutants	3/14	3.9927487257807097E-4	0.02664249153138295	0	0	25.692789968652036	201.0681894967224	ERBB3;EGF;ERBB2
RAC1 GTPase Cycle	6/91	4.2799183182944497E-4	0.02664249153138295	0	0	6.736016511867905	52.24728190025743	SYDE2;TIAM2;FARP2;PLEKHG1;ARHGEF25;ESYT1
Downregulation of ERBB2 Signaling	3/15	4.95186318936214E-4	0.027400309647803843	0	0	23.55028735632184	179.23126268212923	ERBB3;EGF;ERBB2
Signaling by ERBB2 KD Mutants	3/16	6.046910548088591E-4	0.030113614529481185	0	0	21.73740053050398	161.09137315876276	ERBB3;EGF;ERBB2
Signaling by ERBB2 in Cancer	3/17	7.28524818365016E-4	0.030760645947034378	0	0	20.18349753694581	145.81545321538206	ERBB3;EGF;ERBB2
Interferon Gamma Signaling	5/67	7.412203842658886E-4	0.030760645947034378	0	0	7.66175918979745	55.21992708143833	GBP6;GBP7;OAS1;IFNGR1;GBP4
Choline Catabolism	2/5	0.0011095315783692463	0.040219174553196776	0	0	62.476190476190474	425.07658898587965	DMGDH;BHMT
Cytokine Signaling in Immune System	13/451	0.0011306595255918773	0.040219174553196776	0	0	2.8893111705089654	19.603843861913813	GBP6;GBP7;TUBAL3;IFNGR1;STAT2;FANCA;NLRC5;TNFRSF11A;IL17RA;OAS1;IL2RA;TNFRSF8;GBP4
