ensg	hgnc	chrom	obs_lof	exp_lof	prior_mean	post_mean	post_lower_95	post_upper_95
ENSG00000277322	HGNC:37225	chr15	26.0	21.66	0.00059216	3.01e-05	1.05e-06	0.00010405
ENSG00000164363	HGNC:26441	chr5	31.0	28.55	0.00038727	4.853e-05	3.05e-06	0.00015705
ENSG00000176920	HGNC:4013	chr19	17.0	11.327	0.00082297	5.083e-05	3.05e-06	0.00016605
ENSG00000177558	HGNC:26366	chr19	12.0	9.9101	0.00095406	6.067e-05	4.05e-06	0.00019505
ENSG00000112494	HGNC:12570	chr6	21.0	17.754	0.00031734	6.281e-05	3.05e-06	0.00022805
ENSG00000187922	HGNC:20892	chr9	8.0	10.518	0.00046288	6.481e-05	3.05e-06	0.00023905
ENSG00000206503	HGNC:4931	chr6	8.0	19.141	0.00078946	6.952e-05	4.05e-06	0.00024005
ENSG00000187630	HGNC:19731	chr14	10.0	10.567	0.00038035	7.608e-05	3.05e-06	0.00029905
ENSG00000159398	HGNC:26459	chr16	39.0	32.272	0.00025921	7.655e-05	4.05e-06	0.00028405
ENSG00000100197	HGNC:2625	chr22	31.0	18.947	0.0003877	8.916e-05	5.05e-06	0.00031105
ENSG00000187980	HGNC:9032	chr1	3.0	6.3343	0.00126739	8.984e-05	3.05e-06	0.00027605
ENSG00000108417	HGNC:6455	chr17	16.0	18.538	0.0006091	9.155e-05	5.05e-06	0.00031405
ENSG00000175664	HGNC:28622	chr13	14.0	15.626	0.00046769	9.739e-05	3.05e-06	0.00033205
ENSG00000223865	HGNC:4940	chr6	14.0	13.542	0.00239571	9.814e-05	6.05e-06	0.00032505
ENSG00000215568	HGNC:18325	chr22	17.0	20.86	0.00198173	0.00010782	8.05e-06	0.00029405
ENSG00000148288	HGNC:20460	chr9	15.0	14.426	0.00039313	0.00011255	5.05e-06	0.00042205
ENSG00000186474	HGNC:6360	chr19	8.0	10.566	0.00045529	0.00011305	3.05e-06	0.00037705
ENSG00000127415	HGNC:5391	chr4	22.0	26.942	0.00027308	0.00011334	6.05e-06	0.00041905
ENSG00000215009	HGNC:32016	chr12	30.0	32.919	0.0002963	0.0001139	5.05e-06	0.00043405
ENSG00000116785	HGNC:16980	chr1	16.0	15.048	0.00097309	0.00011879	5.05e-06	0.00044705
ENSG00000104808	HGNC:17887	chr19	14.0	14.161	0.00045399	0.00012168	5.05e-06	0.00046305
ENSG00000185038	HGNC:27936	chr2	46.0	78.75	0.00175354	0.0001223	7.05e-06	0.00042405
ENSG00000140798	HGNC:14640	chr16	72.0	68.743	0.00034059	0.0001224	6.05e-06	0.00043305
ENSG00000135218	HGNC:1663	chr7	66.0	23.431	0.00073428	0.0001227	7.05e-06	0.00041605
ENSG00000138472	HGNC:4680	chr3	9.0	7.0793	0.00060239	0.00012271	4.05e-06	0.00038205
ENSG00000198670	HGNC:6667	chr6	118.0	90.196	0.00058758	0.00012612	6.05e-06	0.00044505
ENSG00000089127	HGNC:8086	chr12	10.0	18.307	0.00054818	0.00012961	3.05e-06	0.00056605
ENSG00000183569	HGNC:29446	chr22	18.0	10.762	0.00025782	0.00013314	4.05e-06	0.00054105
ENSG00000173610	HGNC:12542	chr4	22.0	26.629	0.00039405	0.00013381	6.05e-06	0.00050705
ENSG00000117834	HGNC:22146	chr1	39.0	37.49	0.00089069	0.00013481	1.305e-05	0.00041605
ENSG00000062524	HGNC:6721	chr15	40.0	42.682	0.00064734	0.00013617	9.05e-06	0.00045605
ENSG00000183747	HGNC:32017	chr16	34.0	33.188	0.00043177	0.00013946	7.05e-06	0.00050405
ENSG00000080823	HGNC:9833	chr14	29.0	23.527	0.00078077	0.00014332	1.305e-05	0.00046205
ENSG00000120952	HGNC:28841	chr1	13.0	10.722	0.00116646	0.00014409	5.05e-06	0.00055705
ENSG00000004846	HGNC:46	chr7	60.0	65.992	0.00051057	0.00014424	8.05e-06	0.00049405
ENSG00000121270	HGNC:14639	chr16	69.0	68.211	0.00032312	0.00014845	6.05e-06	0.00055005
ENSG00000186160	HGNC:20583	chr1	25.0	23.845	0.00026127	0.00014934	5.05e-06	0.00060405
ENSG00000147485	HGNC:26359	chr8	58.0	66.153	0.00023343	0.00015293	7.05e-06	0.00057605
ENSG00000176919	HGNC:1354	chr9	21.0	13.6	0.00033045	0.00015328	5.05e-06	0.00061005
ENSG00000166157	HGNC:12023	chr21	34.0	31.239	0.00086178	0.0001546	5.05e-06	0.00058805
ENSG00000196502	HGNC:11453	chr16	16.0	15.687	0.00033099	0.00015507	6.05e-06	0.00059105
ENSG00000156194	HGNC:9244	chr4	28.0	39.788	0.00032662	0.00015518	7.05e-06	0.00057605
ENSG00000064270	HGNC:29103	chr16	75.0	49.012	0.00036605	0.00015775	8.05e-06	0.00056905
ENSG00000255346	HGNC:14874	chr15	40.0	36.404	0.00028742	0.00015777	6.05e-06	0.00060405
ENSG00000196126	HGNC:4948	chr6	6.0	10.241	0.00930764	0.00015789	9.05e-06	0.00050705
ENSG00000205038	HGNC:20313	chr8	174.0	186.63	0.00047134	0.00015814	1.905e-05	0.00046005
ENSG00000185615	HGNC:14180	chr16	39.0	22.23	0.00042105	0.00015861	6.05e-06	0.00059705
ENSG00000198848	HGNC:1863	chr16	22.0	21.57	0.00038887	0.00015871	7.05e-06	0.00059805
ENSG00000171903	HGNC:13265	chr19	30.0	26.74	0.00027596	0.00016241	4.05e-06	0.00067105
ENSG00000113492	HGNC:14412	chr5	37.0	28.653	0.00031722	0.0001629	7.05e-06	0.00061505
ENSG00000166670	HGNC:7156	chr11	22.0	22.206	0.00035192	0.00016478	7.05e-06	0.00062705
